word,doc01.txt,doc02.txt,doc03.txt,doc04.txt,doc05.txt,doc06.txt,doc07.txt,doc08.txt,doc09.txt,doc10.txt,doc11.txt,doc12.txt,doc13.txt,doc14.txt,doc15.txt,doc16.txt,doc17.txt,doc18.txt,doc19.txt,doc20.txt
khaki,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pants,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
sudden,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
say,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
indiana,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jones,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thief,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
out,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
gold,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scrolls,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
even,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
buried,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bones,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
worst,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
paparazzis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i've,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ever,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
seen,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
known,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
put,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
display,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
so,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
world,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
can,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0
see,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
that's,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
they,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
will,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
show,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ones,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
west,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
never,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
move,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
east,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
feel,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
